Product_Collection,Vertical_Segment,Status,Launch_Date,Lithography,nb_of_Cores,Processor_Base_Frequency,Cache,TDP,T,Intel_Hyper_Threading_Technology_,Intel_Virtualization_Technology_VTx_,Intel_64_,Instruction_Set,T_bc
13,2,927,49,1,2,1.30 GHz,65,4.5,100.0,1,2,1,1,4.605170185988092
15,2,927,50,1,4,1.60 GHz,82,15.0,100.0,1,2,1,1,4.605170185988092
16,2,927,50,1,4,1.80 GHz,87,15.0,100.0,1,2,1,1,4.605170185988092
29,0,415,12,5,4,3.60 GHz,8,130.0,66.8,1,2,1,1,4.2017030805426
12,2,927,17,1,2,1.20 GHz,65,4.5,100.0,1,2,1,1,4.605170185988092
25,2,927,15,1,2,1.50 GHz,31,15.0,105.0,0,2,1,1,4.653960350157523
28,2,927,46,3,2,1.46 GHz,0,4.3,80.0,0,2,1,1,4.382026634673881
27,0,927,46,3,2,2.41 GHz,1,10.0,100.0,0,2,1,1,4.605170185988092
26,0,927,13,3,2,2.60 GHz,34,55.0,100.0,0,2,1,1,4.605170185988092
65,2,709,46,8,1,2.80 GHz,1,88.0,75.0,1,0,0,0,4.31748811353631
37,2,927,45,3,2,2.40 GHz,34,35.0,90.0,0,2,1,1,4.499809670330265
65,2,709,46,8,1,1.30 GHz,32,5.5,100.0,0,0,0,0,4.605170185988092
38,2,927,15,1,2,1.90 GHz,31,15.0,105.0,1,2,1,1,4.653960350157523
39,2,927,48,1,2,2.10 GHz,34,15.0,100.0,1,2,1,1,4.605170185988092
43,2,927,16,1,4,1.60 GHz,32,6.0,90.0,0,2,1,1,4.499809670330265
42,0,927,46,3,4,2.41 GHz,32,10.0,100.0,0,2,1,1,4.605170185988092
42,0,927,63,3,4,2.41 GHz,32,10.0,105.0,0,2,1,1,4.653960350157523
42,0,927,16,1,4,1.60 GHz,32,6.5,90.0,0,2,1,1,4.499809670330265
42,0,927,46,1,4,1.50 GHz,31,10.0,105.0,0,2,1,1,4.653960350157523
43,2,927,15,1,4,1.60 GHz,32,6.0,90.0,0,2,1,1,4.499809670330265
43,2,927,46,3,4,2.00 GHz,31,7.5,100.0,0,2,1,1,4.605170185988092
43,2,927,63,3,4,2.17 GHz,31,7.5,105.0,0,2,1,1,4.653960350157523
43,2,927,14,3,4,2.16 GHz,31,7.5,100.0,0,2,1,1,4.605170185988092
43,2,927,47,3,4,2.16 GHz,32,7.5,100.0,0,2,1,1,4.605170185988092
43,2,927,49,1,4,1.10 GHz,32,6.0,105.0,0,2,1,1,4.653960350157523
39,2,927,48,1,2,1.50 GHz,34,6.0,100.0,1,2,1,1,4.605170185988092
39,2,927,33,1,2,1.60 GHz,34,6.0,100.0,1,2,1,1,4.605170185988092
39,2,927,17,1,2,1.50 GHz,34,6.0,100.0,1,2,1,1,4.605170185988092
39,2,927,17,1,2,2.30 GHz,34,15.0,100.0,1,2,1,1,4.605170185988092
38,2,927,15,1,2,1.90 GHz,31,15.0,105.0,0,2,1,1,4.653960350157523
38,2,927,63,3,2,1.20 GHz,34,11.5,100.0,0,2,1,1,4.605170185988092
38,2,927,30,3,2,2.40 GHz,31,37.0,100.0,0,2,1,1,4.605170185988092
38,2,927,46,3,2,1.20 GHz,34,11.5,100.0,0,2,1,1,4.605170185988092
38,2,927,63,3,2,1.70 GHz,34,15.0,100.0,0,2,1,1,4.605170185988092
38,2,927,46,3,2,1.70 GHz,34,15.0,100.0,0,2,1,1,4.605170185988092
38,2,927,63,3,2,2.30 GHz,34,37.0,100.0,0,2,1,1,4.605170185988092
37,2,927,45,3,2,1.80 GHz,34,17.0,105.0,0,2,1,1,4.653960350157523
37,2,927,13,3,2,2.50 GHz,34,35.0,90.0,0,2,1,1,4.499809670330265
37,2,927,46,3,2,1.90 GHz,34,17.0,105.0,0,2,1,1,4.653960350157523
37,2,927,13,3,2,1.10 GHz,34,10.0,105.0,0,2,1,1,4.653960350157523
65,2,709,46,8,1,1.20 GHz,32,5.5,100.0,0,0,0,0,4.605170185988092
65,2,709,46,8,1,1.10 GHz,32,5.0,100.0,0,0,0,0,4.605170185988092
65,2,709,46,8,1,1.00 GHz,32,5.0,100.0,0,0,0,0,4.605170185988092
65,2,709,46,0,1,1.10 GHz,1,7.0,100.0,0,0,0,0,4.605170185988092
65,2,709,46,8,1,1.60 GHz,32,7.5,100.0,0,0,0,0,4.605170185988092
65,2,709,20,8,1,1.40 GHz,32,7.5,100.0,0,0,0,0,4.605170185988092
65,2,709,46,8,1,1.50 GHz,32,7.5,100.0,0,0,0,0,4.605170185988092
65,0,709,38,8,1,3.80 GHz,1,115.0,72.8,1,0,1,1,4.28771595520264
65,2,709,46,0,1,1.30 GHz,1,12.0,100.0,0,0,0,0,4.605170185988092
65,0,709,54,8,1,3.80 GHz,1,115.0,72.8,1,0,0,0,4.28771595520264
65,2,709,46,8,1,2.26 GHz,32,27.0,100.0,0,0,0,0,4.605170185988092
65,0,709,38,8,1,3.60 GHz,1,115.0,72.8,1,0,1,1,4.28771595520264
65,3,709,51,0,1,800 MHz,76,10.63,100.0,1,0,1,0,4.605170185988092
65,2,709,46,8,1,2.13 GHz,32,27.0,100.0,0,0,0,0,4.605170185988092
65,0,709,46,8,1,3.60 GHz,1,115.0,72.8,1,0,1,0,4.28771595520264
65,3,709,51,0,1,933 MHz,76,11.61,100.0,1,0,1,0,4.605170185988092
65,2,709,46,8,1,2.10 GHz,32,7.5,100.0,0,0,0,0,4.605170185988092
65,0,709,46,8,1,3.60 GHz,1,115.0,72.8,1,0,0,0,4.28771595520264
65,2,709,20,8,1,2.00 GHz,32,27.0,100.0,0,0,0,0,4.605170185988092
65,3,709,46,0,1,1.13 GHz,76,28.7,69.0,1,0,1,0,4.23410650459726
65,0,709,21,8,1,3.40 GHz,1,84.0,67.7,1,0,1,1,4.215086179918229
65,0,709,46,0,1,2.80 GHz,76,68.4,75.0,1,0,1,0,4.31748811353631
65,2,709,46,8,1,2.00 GHz,32,7.5,100.0,0,0,0,0,4.605170185988092
65,3,709,51,0,1,1.26 GHz,76,30.4,69.0,1,0,1,0,4.23410650459726
65,0,709,54,8,1,3.40 GHz,1,84.0,67.7,1,0,1,0,4.215086179918229
65,0,709,3,0,1,2.60 GHz,76,62.6,70.0,0,0,0,0,4.248495242049359
65,0,709,46,8,1,3.40 GHz,1,84.0,67.7,1,0,1,0,4.215086179918229
65,2,709,46,8,1,1.86 GHz,32,27.0,100.0,0,0,0,0,4.605170185988092
65,0,709,46,0,1,900 MHz,47,23.2,75.0,1,0,1,0,4.31748811353631
65,3,709,46,0,1,1.40 GHz,76,32.2,69.0,1,0,1,0,4.23410650459726
65,0,709,3,0,1,2.50 GHz,76,61.0,72.0,0,0,0,0,4.276666119016055
65,3,709,46,0,1,1.00 GHz,76,12.1,100.0,1,0,1,0,4.605170185988092
65,2,709,20,8,1,1.80 GHz,32,21.0,100.0,0,0,0,0,4.605170185988092
65,0,709,2,2,1,850 MHz,47,22.5,80.0,1,0,1,0,4.382026634673881
65,0,709,20,8,1,3.40 GHz,1,115.0,72.8,1,0,0,0,4.28771595520264
65,0,709,6,7,2,2.80 GHz,62,95.0,63.4,1,0,1,1,4.14946386144318
65,0,709,3,0,1,2.40 GHz,76,59.8,71.0,0,0,0,0,4.2626798770413155
65,0,709,46,2,1,933 MHz,47,27.3,77.0,1,0,1,0,4.343805421853684
65,2,709,20,8,1,1.80 GHz,32,7.5,100.0,0,0,0,0,4.605170185988092
65,0,709,46,2,1,800 MHz,47,20.8,80.0,1,0,1,0,4.382026634673881
